winner_name|loser_name
Grigor Dimitrov|Aslan Karatsev
Maxime Cressy|Tim Van Rijthoven
Daniil Medvedev|Andy Murray
Daniil Medvedev|Felix Auger Aliassime
Andy Murray|Alexandre Muller
Daniil Medvedev|Christopher Oconnell
Felix Auger Aliassime|Alejandro Davidovich Fokina
Andrey Rublev|Tallon Griekspoor
Daniil Medvedev|Liam Broady
Alejandro Davidovich Fokina|Soon Woo Kwon
Felix Auger Aliassime|Jason Kubler
Tallon Griekspoor|Quentin Halys
Jiri Lehecka|Damir Dzumhur
Andy Murray|Lorenzo Sonego
Botic Van De Zandschulp|Ilya Ivashka
Roberto Bautista Agut|Marton Fucsovics
Christopher Oconnell|Fernando Verdasco
Liam Broady|Oleksii Krutykh
Alejandro Davidovich Fokina|Constant Lestienne
Soon Woo Kwon|Abedallah Shelbayh
Jason Kubler|Aslan Karatsev
Carlos Alcaraz|Nicolas Jarry
Cameron Norrie|Bernabe Zapata Miralles
Carlos Alcaraz|Dusan Lajovic
Cameron Norrie|Hugo Dellien
Carlos Alcaraz|Fabio Fognini
Sebastian Baez|Juan Pablo Varillas
Albert Ramos|Daniel Elahi Galan
Cameron Norrie|Thiago Monteiro
Carlos Alcaraz|Mateus Alves
Fabio Fognini|Tomas Barrios Vera
Laslo Djere|Facundo Bagnis
Pedro Martinez|Cristian Garin
Juan Pablo Varillas|Hugo Gaston
Sebastian Baez|Thomaz Bellucci
Albert Ramos|Tomas Martin Etcheverry
Bernabe Zapata Miralles|Jaume Munar
Francisco Cerundolo|Roberto Carballes Baena
Alex Molcan|Joao Fonseca
Hugo Dellien|Joao Sousa
Thiago Monteiro|Dominic Thiem
Cameron Norrie|Juan Manuel Cerundolo
Hubert Hurkacz|Benjamin Bonzi
Hubert Hurkacz|Alexander Bublik
Benjamin Bonzi|Arthur Fils
Hubert Hurkacz|Mikael Ymer
Hubert Hurkacz|Leandro Riedi
Grigor Dimitrov|Gijs Brouwer
Alexander Bublik|Gregoire Barrere
Alex De Minaur|Alexander Ritschard
Mikael Ymer|Radu Albot
David Goffin|Lukas Klein
Gijs Brouwer|Elias Ymer
Alexander Bublik|Filip Krajinovic
Maxime Cressy|Geoffrey Blancaneaux
Benjamin Bonzi|Luca Van Assche
Alexander Ritschard|Pablo Andujar
Richard Gasquet|Laurent Lokoli
Stan Wawrinka|Zizou Bergs
Alex De Minaur|Tommy Paul
Tommy Paul|Mackenzie Mcdonald
Taylor Fritz|Frances Tiafoe
Holger Rune|Matteo Berrettini
Alex De Minaur|Taro Daniel
Tommy Paul|Michael Mmoh
Taylor Fritz|Denis Shapovalov
Frances Tiafoe|Feliciano Lopez
Matteo Berrettini|Elias Ymer
Holger Rune|Nuno Borges
Alex De Minaur|Jacopo Berrettini
Mackenzie Mcdonald|Luciano Darderi
Brandon Nakashima|Daniel Altmaier
Tommy Paul|Emilio Gomez
Taylor Fritz|John Isner
Denis Shapovalov|Miomir Kecmanovic
Frances Tiafoe|Yoshihito Nishioka
Matteo Berrettini|Alex Molcan
Nuno Borges|Nick Chappell
Holger Rune|Ben Shelton
Alex De Minaur|Rodrigo Pacheco Mendez
Casper Ruud|Guido Andreozzi
Andrey Rublev|Alexander Zverev
Novak Djokovic|Hubert Hurkacz
Daniil Medvedev|Borna Coric
Alexander Zverev|Lorenzo Sonego
Andrey Rublev|Botic Van De Zandschulp
Novak Djokovic|Tallon Griekspoor
Hubert Hurkacz|Pavel Kotov
Daniil Medvedev|Alexander Bublik
Borna Coric|Thanasi Kokkinakis
Alexander Zverev|Christopher Oconnell
Botic Van De Zandschulp|Mikael Ymer
Andrey Rublev|Alejandro Davidovich Fokina
Novak Djokovic|Tomas Machac
Tallon Griekspoor|Constant Lestienne
Hubert Hurkacz|Alexander Shevchenko
Daniil Medvedev|Matteo Arnaldi
Alexander Bublik|Alexandar Lazarov
Borna Coric|Daniel Evans
Alexander Zverev|Jiri Lehecka
Felix Auger Aliassime|Maxime Cressy
Mikael Ymer|Francesco Passaro
Alejandro Davidovich Fokina|Malek Jaziri
Andrey Rublev|Filip Krajinovic
Jaume Munar|Thiago Monteiro
Nicolas Jarry|Yannick Hanfmann
Sebastian Baez|Laslo Djere
Thiago Monteiro|Marco Cecchinato
Laslo Djere|Riccardo Bonadio
Sebastian Baez|Cristian Garin
Dusan Lajovic|Juan Manuel Cerundolo
Jaume Munar|Alejandro Tabilo
Marco Cecchinato|Facundo Bagnis
Roberto Carballes Baena|Carlos Taberner
Laslo Djere|Joao Sousa
Dusan Lajovic|Camilo Ugo Carabelli
Tomas Martin Etcheverry|Fabio Fognini
Carlos Alcaraz|Daniil Medvedev
Carlos Alcaraz|Jannik Sinner
Daniil Medvedev|Frances Tiafoe
Carlos Alcaraz|Felix Auger Aliassime
Daniil Medvedev|Alejandro Davidovich Fokina
Carlos Alcaraz|Jack Draper
Felix Auger Aliassime|Tommy Paul
Taylor Fritz|Marton Fucsovics
Jannik Sinner|Stan Wawrinka
Daniil Medvedev|Alexander Zverev
Alejandro Davidovich Fokina|Cristian Garin
Frances Tiafoe|Alejandro Tabilo
Carlos Alcaraz|Tallon Griekspoor
Felix Auger Aliassime|Francisco Cerundolo
Taylor Fritz|Sebastian Baez
Jannik Sinner|Adrian Mannarino
Daniil Medvedev|Ilya Ivashka
Alexander Zverev|Emil Ruusuvuori
Andrey Rublev|Ugo Humbert
Cameron Norrie|Taro Daniel
Frances Tiafoe|Jason Kubler
Carlos Alcaraz|Thanasi Kokkinakis
Tallon Griekspoor|Guido Pella
Andy Murray|Radu Albot
Hubert Hurkacz|Alexei Popyrin
Tommy Paul|Jan Lennard Struff
Francisco Cerundolo|Jack Sock
Felix Auger Aliassime|Pedro Martinez
Taylor Fritz|Ben Shelton
Sebastian Baez|Rinky Hijikata
Jannik Sinner|Richard Gasquet
Holger Rune|Mackenzie Mcdonald
Daniil Medvedev|Brandon Nakashima
Alexander Zverev|Pedro Cachin
Karen Khachanov|Oscar Otte
Alejandro Davidovich Fokina|Yibing Wu
Casper Ruud|Diego Schwartzman
Andrey Rublev|Jiri Lehecka
Cameron Norrie|Tung Lin Wu
Frances Tiafoe|Marcos Giron
Thanasi Kokkinakis|Brandon Holt
Jack Draper|Leandro Riedi
Andy Murray|Tomas Martin Etcheverry
Ben Shelton|Fabio Fognini
Richard Gasquet|Borna Gojo
Adrian Mannarino|Dominic Thiem
Stan Wawrinka|Aleksandar Vukic
Mackenzie Mcdonald|Filip Krajinovic
Ilya Ivashka|Roman Safiullin
Emil Ruusuvuori|Constant Lestienne
Pedro Cachin|Nikoloz Basilashvili
Diego Schwartzman|Federico Coria
Jiri Lehecka|Arthur Rinderknech
Marcos Giron|Aleksandar Kovacevic
Jordan Thompson|Gael Monfils
Daniil Medvedev|Jannik Sinner
Daniil Medvedev|Karen Khachanov
Carlos Alcaraz|Taylor Fritz
Jannik Sinner|Emil Ruusuvuori
Daniil Medvedev|Christopher Eubanks
Karen Khachanov|Francisco Cerundolo
Carlos Alcaraz|Tommy Paul
Daniil Medvedev|Quentin Halys
Francisco Cerundolo|Lorenzo Sonego
Carlos Alcaraz|Dusan Lajovic
Tommy Paul|Alejandro Davidovich Fokina
Taylor Fritz|Denis Shapovalov
Holger Rune|Diego Schwartzman
Emil Ruusuvuori|Taro Daniel
Jannik Sinner|Grigor Dimitrov
Andrey Rublev|Miomir Kecmanovic
Daniil Medvedev|Alex Molcan
Karen Khachanov|Jiri Lehecka
Stefanos Tsitsipas|Cristian Garin
Carlos Alcaraz|Facundo Bagnis
Alejandro Davidovich Fokina|Brandon Nakashima
Tommy Paul|Marc Andrea Huesler
Taylor Fritz|Emilio Nava
Denis Shapovalov|Guido Pella
Diego Schwartzman|Yibing Wu
Holger Rune|Marton Fucsovics
Casper Ruud|Ilya Ivashka
Botic Van De Zandschulp|Alexei Popyrin
Jannik Sinner|Laslo Djere
Grigor Dimitrov|Jan Lennard Struff
Miomir Kecmanovic|Ugo Humbert
Andrey Rublev|J J Wolf
Hubert Hurkacz|Thanasi Kokkinakis
Daniil Medvedev|Roberto Carballes Baena
Felix Auger Aliassime|Thiago Monteiro
Francisco Cerundolo|Aleksandar Kovacevic
Frances Tiafoe|Yosuke Watanuki
Karen Khachanov|Tomas Martin Etcheverry
Stefanos Tsitsipas|Richard Gasquet
Facundo Bagnis|Felipe Meligeni Alves
Brandon Nakashima|Oscar Otte
Marc Andrea Huesler|Albert Ramos
Yibing Wu|Kyle Edmund
Ilya Ivashka|Daniel Altmaier
Emil Ruusuvuori|Nuno Borges
Laslo Djere|Aleksandar Vukic
Ugo Humbert|Gael Monfils
Thanasi Kokkinakis|Zizou Bergs
Adrian Mannarino|Juncheng Shang
Christopher Eubanks|Denis Kudla
Gregoire Barrere|Roman Safiullin
Quentin Halys|Pedro Martinez
Mackenzie Mcdonald|Daniel Elahi Galan
Alex Molcan|Jordan Thompson
Lorenzo Sonego|Dominic Thiem
Yosuke Watanuki|Benoit Paire
Tomas Martin Etcheverry|Pavel Kotov
Jiri Lehecka|Federico Coria
Richard Gasquet|Christopher Oconnell
Casper Ruud|Miomir Kecmanovic
Casper Ruud|Quentin Halys
Miomir Kecmanovic|Marco Cecchinato
Casper Ruud|Sebastian Baez
Quentin Halys|Dominic Thiem
Miomir Kecmanovic|Bernabe Zapata Miralles
Casper Ruud|Joao Sousa
Sebastian Baez|Pedro Cachin
Marco Cecchinato|Fabio Fognini
Alejandro Davidovich Fokina|Luca Van Assche
Miomir Kecmanovic|Jurij Rodionov
Pedro Cachin|Chun Hsin Tseng
Sebastian Baez|Radu Albot
Dominic Thiem|Sebastian Ofner
Ben Shelton|Constant Lestienne
Fabio Fognini|Alessandro Giannessi
Luca Van Assche|Pedro Sousa
Miomir Kecmanovic|Luca Nardi
Bernabe Zapata Miralles|Henrique Rocha
Frances Tiafoe|Tomas Martin Etcheverry
Frances Tiafoe|Gijs Brouwer
Tomas Martin Etcheverry|Yannick Hanfmann
Frances Tiafoe|Jason Kubler
Tomas Martin Etcheverry|Cristian Garin
Yannick Hanfmann|Tomas Machac
Frances Tiafoe|Steve Johnson
Jason Kubler|Daniel Elahi Galan
J J Wolf|Denis Kudla
Tomas Martin Etcheverry|Max Purcell
Cristian Garin|Zizou Bergs
Jason Kubler|Fernando Verdasco
Denis Kudla|Aleksandar Vukic
J J Wolf|Jordan Thompson
Tomas Martin Etcheverry|Juan Manuel Cerundolo
Max Purcell|Daniel Altmaier
Cristian Garin|Hugo Dellien
Marcos Giron|Emilio Gomez
Tomas Machac|Jack Sock
Roberto Carballes Baena|Alexandre Muller
Daniel Evans|Andrea Vavassori
Lorenzo Musetti|Hugo Gaston
Roberto Carballes Baena|Dimitar Kuzmanov
Tallon Griekspoor|Elias Ymer
Daniel Evans|Alexei Popyrin
Francesco Passaro|Aslan Karatsev
Christopher Oconnell|Riccardo Bonadio
Pavel Kotov|Pedro Martinez
Benjamin Bonzi|Alexey Vatutin
Elias Ymer|Adam Moundir
Jaume Munar|Elliot Benchetrit
Alexei Popyrin|Younes Lalami Laaroussi
Andrey Rublev|Holger Rune
Andrey Rublev|Taylor Fritz
Jannik Sinner|Lorenzo Musetti
Andrey Rublev|Jan Lennard Struff
Jannik Sinner|Hubert Hurkacz
Daniil Medvedev|Alexander Zverev
Holger Rune|Matteo Berrettini
Andrey Rublev|Karen Khachanov
Taylor Fritz|Jiri Lehecka
Stefanos Tsitsipas|Nicolas Jarry
Novak Djokovic|Ivan Gakhov
Lorenzo Musetti|Luca Nardi
Hubert Hurkacz|Jack Draper
Jannik Sinner|Diego Schwartzman
Daniil Medvedev|Lorenzo Sonego
Alexander Zverev|Roberto Bautista Agut
Matteo Berrettini|Francisco Cerundolo
Holger Rune|Dominic Thiem
Andrey Rublev|Jaume Munar
Karen Khachanov|Ilya Ivashka
Casper Ruud|Botic Van De Zandschulp
Taylor Fritz|Stan Wawrinka
Nicolas Jarry|Alexei Popyrin
Stefanos Tsitsipas|Benjamin Bonzi
Luca Nardi|Valentin Vacherot
Lorenzo Musetti|Miomir Kecmanovic
Hubert Hurkacz|Laslo Djere
Diego Schwartzman|David Goffin
Lorenzo Sonego|Ugo Humbert
Roberto Bautista Agut|Filip Krajinovic
Alexander Zverev|Alexander Bublik
Matteo Berrettini|Maxime Cressy
Karen Khachanov|Alejandro Davidovich Fokina
Alex De Minaur|Andy Murray
Botic Van De Zandschulp|Marton Fucsovics
Grigor Dimitrov|Ben Shelton
Carlos Alcaraz|Stefanos Tsitsipas
Carlos Alcaraz|Daniel Evans
Stefanos Tsitsipas|Lorenzo Musetti
Carlos Alcaraz|Alejandro Davidovich Fokina
Daniel Evans|Francisco Cerundolo
Stefanos Tsitsipas|Alex De Minaur
Carlos Alcaraz|Roberto Bautista Agut
Alejandro Davidovich Fokina|Emil Ruusuvuori
Jannik Sinner|Yoshihito Nishioka
Alex De Minaur|Grigor Dimitrov
Stefanos Tsitsipas|Denis Shapovalov
Carlos Alcaraz|Nuno Borges
Roberto Bautista Agut|Bernabe Zapata Miralles
Alejandro Davidovich Fokina|Tomas Martin Etcheverry
Casper Ruud|Ben Shelton
Francisco Cerundolo|Francesco Passaro
Daniel Evans|Matteo Arnaldi
Karen Khachanov|Nicolas Jarry
Cameron Norrie|Pavel Kotov
Lorenzo Musetti|Jason Kubler
Yoshihito Nishioka|David Goffin
Jannik Sinner|Diego Schwartzman
Alex De Minaur|Alexander Shevchenko
Grigor Dimitrov|Emilio Gomez
Denis Shapovalov|Jozef Kovalik
Stefanos Tsitsipas|Pedro Cachin
Bernabe Zapata Miralles|Attila Balazs
Tomas Martin Etcheverry|Pablo Andujar
Emil Ruusuvuori|Alexander Bublik
Ben Shelton|Mackenzie Mcdonald
Francesco Passaro|Fernando Verdasco
Nicolas Jarry|Marco Trungelliti
Pavel Kotov|Oleksii Krutykh
Jason Kubler|Daniel Rincon
David Goffin|Feliciano Lopez
Diego Schwartzman|Yibing Wu
Alexander Shevchenko|Lorenzo Giustino
Pedro Cachin|Gijs Brouwer
Holger Rune|Botic Van De Zandschulp
Holger Rune|Christopher Oconnell
Holger Rune|Cristian Garin
Christopher Oconnell|Flavio Cobolli
Botic Van De Zandschulp|Marcos Giron
Taylor Fritz|Dominic Thiem
Holger Rune|Yannick Hanfmann
Marcos Giron|Alexander Ritschard
Botic Van De Zandschulp|Aslan Karatsev
Taylor Fritz|Marton Fucsovics
Cristian Garin|Marko Topo
Lorenzo Sonego|Quentin Halys
Marc Andrea Huesler|Kyle Edmund
Marton Fucsovics|Max Hans Rehberg
Andrey Rublev|Alex Molcan
Miomir Kecmanovic|Jiri Lehecka
Alex Molcan|Laslo Djere
Andrey Rublev|Damir Dzumhur
Novak Djokovic|Luca Van Assche
Miomir Kecmanovic|Abedallah Shelbayh
Jiri Lehecka|Radu Albot
Alex Molcan|Alexei Popyrin
Andrey Rublev|Juan Pablo Varillas
Dusan Lajovic|Filip Krajinovic
Gregoire Barrere|Hamad Medjedovic
Jiri Lehecka|Gael Monfils
Alex Molcan|Taro Daniel
Laslo Djere|Roman Safiullin
Richard Gasquet|Dino Prizmic
Juan Pablo Varillas|Hugo Gaston
Carlos Alcaraz|Jan Lennard Struff
Carlos Alcaraz|Borna Coric
Jan Lennard Struff|Aslan Karatsev
Carlos Alcaraz|Karen Khachanov
Borna Coric|Daniel Altmaier
Carlos Alcaraz|Alexander Zverev
Borna Coric|Alejandro Davidovich Fokina
Jan Lennard Struff|Pedro Cachin
Stefanos Tsitsipas|Bernabe Zapata Miralles
Carlos Alcaraz|Grigor Dimitrov
Alexander Zverev|Hugo Grenier
Karen Khachanov|Roberto Bautista Agut
Andrey Rublev|Yoshihito Nishioka
Jaume Munar|Matteo Arnaldi
Daniel Altmaier|Yannick Hanfmann
Bernabe Zapata Miralles|Roman Safiullin
Stefanos Tsitsipas|Sebastian Baez
Taylor Fritz|Cristian Garin
Daniil Medvedev|Alexander Shevchenko
Carlos Alcaraz|Emil Ruusuvuori
Grigor Dimitrov|Gregoire Barrere
Alexander Zverev|Roberto Carballes Baena
Karen Khachanov|Thiago Monteiro
Roberto Bautista Agut|Quentin Halys
Yoshihito Nishioka|Alex Molcan
Andrey Rublev|Stan Wawrinka
Daniel Altmaier|Oscar Otte
Hubert Hurkacz|Richard Gasquet
Borna Coric|Hugo Gaston
Alejandro Davidovich Fokina|Albert Ramos
Holger Rune|Alexander Bublik
Frances Tiafoe|Tomas Martin Etcheverry
Sebastian Baez|Marcos Giron
Stefanos Tsitsipas|Dominic Thiem
Taylor Fritz|Christopher Oconnell
Cameron Norrie|Yosuke Watanuki
Alex De Minaur|Marco Cecchinato
Daniil Medvedev|Andrea Vavassori
